DATE,TIME,COMPANY NAME,MARKET,SECTOR,STOCK CODE,CHANGE,PERCENTAGE CHANGE,LACP,OPEN,HIGH,LOW
9/19/2017,5.00 PM,CCM DUOPHARMA BIOTECH BERHAD,MAIN MARKET,CONSUMER,7148,0.01,0.44,2.27,2.25,2.3,2.25
9/20/2017,5:00 PM,CCM DUOPHARMA BIOTECH BERHAD,MAIN MARKET,CONSUMER,7148,0.03,1.32,2.28,2.3,2.32,2.3
9/21/2017,5.00 PM,CCM DUOPHARMA BIOTECH BERHAD,MAIN MARKET,CONSUMER,7148,0.01,0.43,2.31,2.31,2.38,2.31
9/25/2017,5.00 PM,CCM DUOPHARMA BIOTECH BERHAD,MAIN MARKET,CONSUMER,7148,-0.04,-1.72,2.32,2.28,2.28,2.28
9/26/2017,5.00 PM,CCM DUOPHARMA BIOTECH BERHAD,MAIN MARKET,CONSUMER,7148,-0.07,-3.07,2.28,2.22,2.22,2.21
9/27/2017,5.00 PM,CCM DUOPHARMA BIOTECH BERHAD,MAIN MARKET,CONSUMER,7148,0.01,0.45,2.21,2.22,2.22,2.22
9/28/2017,5.00 PM,CCM DUOPHARMA BIOTECH BERHAD,MAIN MARKET,CONSUMER,7148,-0.01,-0.45,2.22,2.21,2.21,2.21
9/29/2017,5.00 PM,CCM DUOPHARMA BIOTECH BERHAD,MAIN MARKET,CONSUMER,7148,-0.01,-0.45,2.21,2.2,2.21,2.2
10/2/2017,5.00 PM,CCM DUOPHARMA BIOTECH BERHAD,MAIN MARKET,CONSUMER,7148,0.01,0.46,2.2,2.21,2.21,2.21
10/3/2017,5.00 PM,CCM DUOPHARMA BIOTECH BERHAD,MAIN MARKET,CONSUMER,7148,-0.01,-0.45,2.21,2.21,2.21,2.2
10/4/2017,5.00 PM,CCM DUOPHARMA BIOTECH BERHAD,MAIN MARKET,CONSUMER,7148,0,0,2.2,2.2,2.2,2.2
10/5/2017,5.00 PM,CCM DUOPHARMA BIOTECH BERHAD,MAIN MARKET,CONSUMER,7148,0,0,2.2,2.2,2.2,2.2
10/6/2017,5.00 PM,CCM DUOPHARMA BIOTECH BERHAD,MAIN MARKET,CONSUMER,7148,0.01,0.46,2.2,2.21,2.21,2.21
10/8/2017,5.00 PM,CCM DUOPHARMA BIOTECH BERHAD,MAIN MARKET,CONSUMER,7148,-0.01,-0.45,2.21,2.2,2.2,2.2
10/9/2017,5.00 PM,CCM DUOPHARMA BIOTECH BERHAD,MAIN MARKET,CONSUMER,7148,-0.01,-0.45,2.21,2.2,2.2,2.2
10/10/2017,5.00 PM,CCM DUOPHARMA BIOTECH BERHAD,MAIN MARKET,CONSUMER,7148,0.01,0.46,2.2,2.21,2.22,2.21
10/11/2017,5.00 PM,CCM DUOPHARMA BIOTECH BERHAD,MAIN MARKET,CONSUMER,7148,-0.01,-0.45,2.21,2.24,2.24,2.2
10/12/2017,5.00 PM,CCM DUOPHARMA BIOTECH BERHAD,MAIN MARKET,CONSUMER,7148,-0.01,-0.46,2.2,2.2,2.2,2.19
10/13/2017,5.00 PM,CCM DUOPHARMA BIOTECH BERHAD,MAIN MARKET,CONSUMER,7148,-0.01,0.46,2.19,2.19,2.19,2.18
10/16/2017,5.00 PM,CCM DUOPHARMA BIOTECH BERHAD,MAIN MARKET,CONSUMER,7148,0,0,2.18,2.18,2.18,2.18
10/17/2017,5.00 PM,CCM DUOPHARMA BIOTECH BERHAD,MAIN MARKET,CONSUMER,7148,-0.04,-1.83,2.18,2.13,2.15,2.13
10/19/2017,5.00 PM,CCM DUOPHARMA BIOTECH BERHAD,MAIN MARKET,CONSUMER,7148,-0.02,-0.94,2.13,2.12,2.12,2.11
10/20/2017,5.00 PM,CCM DUOPHARMA BIOTECH BERHAD,MAIN MARKET,CONSUMER,7148,0.01,0.47,2.11,2.12,2.12,2.12
10/23/2017,5.00 PM,CCM DUOPHARMA BIOTECH BERHAD,MAIN MARKET,CONSUMER,7148,0.01,0.47,2.12,2.13,213,2.13
10/24/2017,5.00 PM,CCM DUOPHARMA BIOTECH BERHAD,MAIN MARKET,CONSUMER,7148,-0.03,1.41,2.13,2.13,2.13,2.06
10/25/2017,5.00 PM,CCM DUOPHARMA BIOTECH BERHAD,MAIN MARKET,CONSUMER,7148,0,0,2.1,2.11,2.13,2.1
10/26/2017,5.00 PM,CCM DUOPHARMA BIOTECH BERHAD,MAIN MARKET,CONSUMER,7148,0.02,0.95,2.1,2.12,2.12,2.12
10/27/2017,5.00 PM,CCM DUOPHARMA BIOTECH BERHAD,MAIN MARKET,CONSUMER,7148,0,0,2.12,2.12,2.12,2.12
10/30/2017,5.00 PM,CCM DUOPHARMA BIOTECH BERHAD,MAIN MARKET,CONSUMER,7148,0.01,0.47,2.12,2.13,2.13,2.13
10/31/2017,5.00 PM,CCM DUOPHARMA BIOTECH BERHAD,MAIN MARKET,CONSUMER,7148,-0.01,-0.47,2.13,2.12,2.13,2.12
11/1/2017,5.00 PM,CCM DUOPHARMA BIOTECH BERHAD,MAIN MARKET,CONSUMER,7148,0,0,2.12,2.12,2.12,2.12
11/2/2017,5.00 PM,CCM DUOPHARMA BIOTECH BERHAD,MAIN MARKET,CONSUMER,7148,0.04,1.89,2.12,2.11,2.16,2.1
11/3/2017,5.00 PM,CCM DUOPHARMA BIOTECH BERHAD,MAIN MARKET,CONSUMER,7148,0,0,2.16,2.16,2.16,2.16
11/6/2017,5.00 PM,CCM DUOPHARMA BIOTECH BERHAD,MAIN MARKET,CONSUMER,7148,-0.03,-1.39,2.16,2.16,2.16,2.12
11/7/2017,5.00 PM,CCM DUOPHARMA BIOTECH BERHAD,MAIN MARKET,CONSUMER,7148,0.02,0.94,2.13,2.15,2.15,2.15
11/8/2017,5.00 PM,CCM DUOPHARMA BIOTECH BERHAD,MAIN MARKET,CONSUMER,7148,0.05,2.33,2.15,2.16,2.2,2.16
11/9/2017,5.00 PM,CCM DUOPHARMA BIOTECH BERHAD,MAIN MARKET,CONSUMER,7148,-0.02,-0.91,2.2,2.18,2.18,2.18
11/10/2017,5.00 PM,CCM DUOPHARMA BIOTECH BERHAD,MAIN MARKET,CONSUMER,7148,0.02,0.92,2.18,2.18,2.2,2.18
